Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL
2017-10-11,201.1939697265625,51.8922119140625,80.06744384765625,172.66000366210938,130.43887329101562,60.16313934326172,153.64999389648438,13.880000114440918,88.80781555175781,10.070646286010742,39.72346496582031,65.13912963867189,143.83802795410156,50.52000045776367,77.3974380493164,131.73092651367188,113.9941635131836,141.22999572753906,192.4600067138672,85.96318054199219,196.893310546875,216.5247039794922,39.26732635498047,88.71485900878906,1005.6500244140624
2017-10-12,202.19757080078125,52.40465545654297,79.78815460205078,173.0,132.62063598632812,60.83967590332031,153.61000061035156,14.199999809265135,85.98662567138672,10.025968551635742,39.75187683105469,66.03868865966797,144.22366333007812,50.52000045776367,76.33409881591797,131.61589050292972,115.02701568603516,141.4600067138672,192.3800048828125,87.33819580078125,194.4822998046875,212.03623962402344,39.589500427246094,88.19070434570312,1005.6500244140624
2017-10-13,202.31837463378903,52.3471908569336,79.13357543945312,173.85000610351562,132.62063598632812,59.88859939575195,153.92999267578125,14.220000267028807,84.94358825683594,10.052776336669922,39.78503036499024,65.50090026855469,144.3365478515625,50.7599983215332,76.86576843261719,133.18798828125,115.06422424316406,140.61000061035156,192.80999755859372,86.10945892333984,195.8545684814453,222.3616485595703,39.62630844116211,88.00010681152344,1007.8699951171876
2017-10-16,203.2476348876953,52.32803726196289,79.45650482177734,170.5500030517578,132.51583862304688,60.28079223632813,150.4600067138672,14.260000228881836,85.44026947021484,10.070646286010742,39.865535736083984,65.42268371582031,144.11080932617188,50.72999954223633,76.40055847167969,134.35746765136722,114.91535186767578,140.83999633789062,193.3699951171875,85.95342254638672,189.0789794921875,220.34857177734372,39.69074249267578,88.11448669433594,1009.3499755859376
2017-10-17,202.3462219238281,52.73991775512695,80.44274139404297,172.47000122070312,132.09661865234378,60.45728302001953,150.3800048828125,14.15999984741211,87.50647735595703,9.999159812927246,39.6666374206543,64.65024566650389,144.34591674804688,50.58000183105469,76.4480209350586,133.63853454589844,115.4736328125,143.16000366210938,194.2700042724609,84.84171295166016,188.4786071777344,218.58595275878903,39.98529052734375,87.11381530761719,1011.0
2017-10-18,202.82945251464844,53.41999816894531,83.82032775878906,172.9499969482422,132.19279479980472,60.3004035949707,153.0,14.06999969482422,87.22834777832031,9.945545196533203,39.6666374206543,64.96312713623047,144.09197998046875,51.0,76.3625717163086,133.87818908691406,114.6082763671875,140.24000549316406,194.22999572753903,85.42681121826172,178.34848022460938,219.97293090820312,39.93007278442383,86.96134948730469,1012.739990234375
2017-10-19,203.73085021972656,53.64031600952149,84.20436096191406,172.2100067138672,133.34716796875,60.78084945678711,171.72999572753906,13.949999809265135,86.34423828125,10.088519096374512,39.99340057373047,65.39333343505861,143.77218627929688,51.6500015258789,74.84349822998047,133.7152099609375,114.78506469726562,140.46000671386722,196.8500061035156,85.56334686279297,180.36880493164062,224.230224609375,40.3626823425293,88.37178802490234,1001.8400268554688
2017-10-20,205.6636962890625,53.94682693481445,83.87268829345703,174.6199951171875,134.18406677246094,61.40836715698242,175.63999938964844,13.8100004196167,86.20516204833984,9.945545196533203,39.70925521850586,65.75511169433594,145.05136108398438,51.86999893188477,75.65999603271484,134.95181274414062,113.76153564453124,139.02000427246094,200.8800048828125,85.83639526367188,179.4253387451172,230.558349609375,40.38109588623047,88.60050201416016,1005.0700073242188
2017-10-23,205.87741088867188,53.71693801879883,82.48501586914062,176.0,134.03016662597656,60.26118469238281,172.16000366210938,14.100000381469727,85.34092712402344,9.945545196533203,39.93183135986328,65.53022766113281,144.4682159423828,51.459999084472656,74.75802612304688,132.79495239257812,113.48239135742188,135.19999694824222,202.75999450683597,85.14400482177734,178.9393768310547,230.5198516845703,40.2890510559082,88.60050201416016,985.5399780273438
2017-10-24,218.0507354736328,53.04643249511719,80.02381896972656,176.7100067138672,133.62614440917972,61.50640869140625,171.5800018310547,14.25,83.69193267822266,9.820444107055664,40.04549789428711,65.82356262207031,144.70335388183594,51.90999984741211,75.37517547607422,132.97708129882812,113.58475494384766,136.66000366210938,203.72000122070312,86.28498840332031,174.3174285888672,230.9725341796875,40.02210998535156,89.239013671875,988.489990234375
2017-10-25,220.8663787841797,53.15180587768555,80.0936279296875,171.3699951171875,135.79054260253906,60.6043586730957,171.8300018310547,12.329999923706055,82.7581558227539,9.740022659301758,39.813438415527344,65.89201354980469,145.39932250976562,54.0,65.43464660644531,132.79495239257812,113.53822326660156,132.00999450683594,201.75,84.34434509277344,171.85877990722656,227.1390686035156,39.81040573120117,88.89594268798828,991.4600219726562
2017-10-26,216.4616851806641,53.14221572875977,78.16481018066406,179.58999633789062,136.56974792480472,60.84948348999024,173.75,12.010000228881836,85.0826644897461,9.704276084899902,39.605072021484375,66.20488739013672,151.79507446289062,53.34000015258789,62.07366561889648,133.28384399414062,113.26838684082031,126.06999969482422,202.97999572753903,78.69798278808594,168.03736877441406,224.0279541015625,39.93007278442383,89.5439682006836,991.4199829101562
2017-10-27,218.13438415527344,53.03685760498047,80.23326873779297,181.07000732421875,137.82989501953122,62.88890838623047,177.3300018310547,11.84000015258789,81.3873062133789,9.632792472839355,39.75187683105469,66.4591064453125,151.3153839111328,53.0,63.21299362182617,133.32220458984378,113.66848754882812,128.6199951171875,235.94000244140625,78.29815673828125,170.4102325439453,223.29591369628903,40.27064514160156,89.32478332519531,1033.6700439453123
2017-10-30,214.67755126953125,52.00236892700195,79.38668823242188,179.47999572753906,137.83952331542972,64.02628326416016,176.02999877929688,10.890000343322754,81.45681762695312,9.597049713134766,39.69977951049805,65.98978424072266,150.440673828125,52.459999084472656,63.09905624389648,133.73439025878906,113.25906372070312,127.80999755859376,235.57000732421875,79.93648529052734,170.23873901367188,216.2068328857422,40.034217834472656,89.6488037109375,1033.1300048828123
2017-10-31,213.90621948242188,51.94488906860352,78.76701354980469,192.9199981689453,136.94490051269528,64.21257781982422,175.16000366210938,10.989999771118164,81.19854736328125,9.606085777282717,39.72819519042969,66.51777648925781,149.9515838623047,52.25,62.6908073425293,135.05726623535156,115.3433609008789,119.66000366210938,238.97999572753903,81.32125854492188,168.89503479003906,215.4940948486328,40.10837936401367,89.44866943359375,1033.0400390625
2017-11-01,213.8969573974609,51.72458267211914,80.6783676147461,188.88999938964844,137.52207946777344,64.05570220947266,176.25,10.800000190734863,80.21512603759766,9.660923957824707,39.91763305664063,66.50799560546875,150.41246032714844,52.68999862670898,62.45344543457031,136.43763732910156,116.50647735595705,116.05999755859376,234.9499969482422,80.67762756347656,175.8993682861328,217.8731689453125,39.93223190307617,89.82034301757812,1042.5999755859377
2017-11-02,215.8018951416016,52.0789909362793,79.43904876708984,190.0500030517578,137.97419738769528,64.17335510253906,180.94000244140625,10.850000381469727,81.14889526367188,9.862005233764648,39.97446060180664,66.61553955078125,149.93280029296875,52.290000915527344,60.43115615844727,131.24201965332028,115.90166473388672,115.62999725341795,233.47000122070312,80.1900405883789,167.13201904296875,217.9117126464844,39.9229621887207,93.25114440917969,1042.969970703125
